"score","text","date","version"
2,"Mau masukan metode pembayaran debit Mandiri. Malah di bilang tidak terdeteksi.padahal sudah benar masukan dan masa aktifnya sampe 2029. gimana sih aplikasinya ini.kalo aplikasi belum 100%ready jgn lah di publikasi dulu.jd menyusahkan.bukannya memudahkan ini","2024-05-07T11:34:13.860Z","4.3.2"
1,"Satu kata... PAYAH harusnya diperbaiki dulu ini aplikasi, rampungkan. Ini menyulitkan saja, dan banyak yg jadikan bisnis malahan","2024-05-07T09:53:51.585Z","4.3.2"
3,"Lama bgt nunggu ferisvikasi kan .udh 6 jam ga selesaiel selesai .mohon di bantu kak","2024-05-07T09:08:29.254Z","4.3.2"
1,"Iki aplikasi opo ..to....ra iso gunakan...babarblas....ra ceto..aplikasi ne...","2024-05-07T06:08:27.847Z","4.3.2"
5,"Puas","2024-05-07T05:15:39.340Z",
5,"Susah utk daftar nya","2024-05-07T04:50:34.210Z","4.3.2"
1,"Masih banyak benalu di negeri kita aplikasi ini akan merugikan mereka🤣🤭","2024-05-07T04:36:40.799Z","4.3.2"
4,"Ewww","2024-05-07T04:32:17.180Z","4.2.3"
5,"Membantu dalam pembelian bbm bersubsidi dan tepat sasaran","2024-05-07T03:46:15.546Z",
1,"Fungsi aplikasinya buat apa min , Kalau pertalite jadinya dihapus ?","2024-05-07T02:42:37.341Z","3.7.7"
1,"Setiap mau pembayaran di SPBU COCO Puri Kembangan 31.116.02 Pertamina gagal terus","2024-05-07T01:54:37.747Z","4.3.1"
5,"mantap 👍👍👍","2024-05-07T00:37:00.359Z","4.3.2"
5,"😊","2024-05-06T21:44:54.617Z",
1,"Mau daftar terlalu ribet, email, NIK kalo sudah di daftar tapi ada perbaikan tidak bisa lagi daftar padahal itu NIK dan email punya kita sendiri.padahal kita sudah buru ada kepentingan.. Pertamina tolong di tinjau kembali.terima kasih","2024-05-06T16:23:19.181Z","4.3.2"
1,"Aplikasi sampah","2024-05-06T08:48:17.356Z","4.3.2"
1,"Kenapa harus ada aplikasi, menyusahkan banget","2024-05-06T07:35:17.798Z","4.3.2"
1,"Aplikasi macam apa ini, bukannya memudahkan masyarakat kalangan bawah ini malah mempersulit, nunggu verifikasi sangat lama, dan juga kasin buat yang lainnya belum tentu punya smartphone.","2024-05-06T07:32:41.904Z","4.3.2"
5,"bguss","2024-05-06T07:30:07.514Z","4.3.2"
1,"sdh terdaftar tp sll bensin bensinbl blm terdaftar merugikan konsumen pdhl mbl saya kategori bukan mbl mewah","2024-05-06T07:18:10.172Z","4.3.2"
5,"mantap sangat bermanfaat","2024-05-06T05:44:38.618Z","4.3.2"
1,"Aplikasi tolol ga berguna","2024-05-06T04:36:45.483Z",
5,"Memuaskan","2024-05-06T03:52:32.205Z",
5,"Memuaskan","2024-05-06T03:52:19.570Z","4.3.2"
5,"Sangat membantu","2024-05-06T03:09:55.408Z","4.3.2"
5,"nicee","2024-05-06T03:08:44.559Z","4.3.2"
5,"Nice","2024-05-06T03:00:19.645Z","4.3.2"
5,"Aplikasinya bagus","2024-05-06T02:53:37.590Z","4.3.2"
5,"Mantapp","2024-05-06T02:44:09.116Z","4.3.2"
1,"Ngisi plat diketik, tp transaksi g pernah masuk, sbnrnya nglink g sih nih apk sama mesin spbu.... Wkwkwkw","2024-05-06T02:41:51.985Z","4.3.2"
2,"alat pembayaran masih blm terintegrasi. saya coba bayar menggunakan debit. masih blm bisa. bila tidak bisa tolong off. jangan PHP pelanggan dan buat repot di SPBU","2024-05-05T23:44:42.897Z","4.3.2"
5,"Mempermudah informasi pengisian bahan bakar kendaraan,serta memudahkan pembayaran 👍👍","2024-05-05T23:43:21.544Z","4.3.2"
2,"ko bisa ya data diri saya sudah terdaftar dan dipake orang lain, setelah saya cek ktp nya tidak sama dengan ktp saya (ada org yg upload ktp asal)","2024-05-05T15:21:25.848Z",
1,"Bener sekali, aplikasi ini bukan memudahkan tp menyulitkan. Sudah lebih dr 1 bulan ngga bs beli BBM gara2 aplikasi yg ngga fungsi. PERTAMINA TOLONG INI DIPERHATIKAN... BUKAN SAYA SAJA YG TERKENDALA, TAPI BANYAK KONSUMEN YANG TERDAMPAK.","2024-05-05T14:17:10.978Z",
1,"Voucher 100rb hilang, sudah telpon sampai pulsa habis lebih dr 100rb, berbulan2 jg gak balik. Aplikasi sampah","2024-05-05T14:09:42.494Z","4.3.2"
1,"Udah pernah login, udah daftar dan terverifikasi, mau login lg cek kode barcode kirim kode otp udah di coba puluhan kali kode otpnya ga masuk2 ke email Cacat bgt aplikasinya ga jelas","2024-05-05T11:16:28.613Z","4.3.2"
1,"Woi ini maksudnya apa, ngisi solar di batesin 3 kali sehari, padahal blm ngisi solar pisan seharian, malah di sangka udh ngisi 3 kali, tolong lah di pertegas kan lgi systemnya, aneh","2024-05-05T09:06:16.352Z",
5,"Sangat membantu","2024-05-05T06:08:01.502Z","4.3.2"
5,"Ok banget","2024-05-05T05:25:25.434Z","4.3.2"
3,"aplikasi bagus, sangat membantu. Saya tinggal di semarang, banyak pom bensin yg belum bersedia menggunakan my pertamina dg alasan ""lg error lah, ditanya jawabannya ga tau lah, belum bisa lah"" hah, pdhal mereka memasang spanduk my pertamina..... Kenapa????","2024-05-05T05:00:51.920Z",
1,"aplikasi di benerin coba 5 hp aja tetap bug disuruh hubungkan mulu mending nnton yotube daripada buka aplikasi gaje","2024-05-05T04:53:10.172Z","4.3.2"
3,"tolong diperbarui mslh subsidi tepat sasaran soalnya masih byk kendaraan mobil CC tinggi antri pertalite, tolong diberi batasan CC buat antre pertalite biar tepar sasaran","2024-05-05T04:19:38.432Z","4.3.2"
5,"Baru pertama kali. Belum dicoba","2024-05-05T03:48:42.693Z","4.3.2"
1,"Wajib pakai QR tapi aplikasinya 1001 bug","2024-05-05T01:30:52.626Z",
1,"Tdk bisa logi lagi","2024-05-04T17:41:23.661Z","4.3.1"
1,"Aplikasi eror tdk bisa menghubungkan ke gopay","2024-05-04T15:50:55.336Z","4.3.2"
1,"gak jelas.. efisien kagak ruwet pasti","2024-05-04T14:07:18.543Z",
5,"Sangat bagus","2024-05-04T13:18:17.202Z","4.3.2"
1,"Aplikasi busuk daftar aja susah lebih enak buat akun google daripada pakai aplikasi ini","2024-05-04T13:14:28.389Z","4.3.2"
1,"Saya SDH terdaftar pas mau download barcode muncul notif nik atau nomor plat kendaraan anda tida di temukan terus gimana saya mau isi di pom kalo gak ada barcode malah tambah ribet sekarang😭😭😭","2024-05-04T11:45:32.860Z","4.3.2"
1,"saya sudah terverifikasi tapi gak bisa nge download QR kode nya","2024-05-04T11:36:07.134Z","4.3.2"
3,"Top up nya untuk bca gak ada","2024-05-04T09:45:02.758Z","4.3.1"
1,"Tipikal aplikasi BUMN kita.. Ga jelas..","2024-05-04T09:38:27.726Z","4.3.2"
5,"🙏🙏🙏🙏","2024-05-04T09:24:31.583Z","4.3.2"
1,"Aplikasi paling jelek masak BUMN kualitas kayak abal2 mau daftar ga bisa,,masak kayak gini aplikasi BUMN","2024-05-04T05:48:34.738Z","4.3.2"
1,"karyawan SPBU punya barkode masing.. kasi 15 rb tiap kali pengisian bagi yg tdk bisa ngurus barkode. (KORUPSI) harap hilangkan aplikasi ni","2024-05-04T05:11:59.540Z",
2,"Sudah niat top-up tapi begitu sampai di pom bensin yg diarahkan selalu petugas bilang tidak bisa pakai mypertamina atau alasan alatnya erorr. Alhasil bayar pakai tunai. Tidak solutif sekali.","2024-05-04T04:40:53.523Z",
4,"Sangat di sayangkan ada banyak pom bensin pertamina di tempel stiker my pertamina tapi ketika akan menggunakan aplikasi tersebut terkendala dengan ketersediaan merchantnya yg terbatas dan sehingga memakan waktu transaksi yg berakibat antrian di belakang kita tertahan .. semoga ke depannya bisa mencontoh pom ""kuning"" ada loket khusus untuk pembayaran non tunai sehingga tidak menganggu pengguna lain.","2024-05-04T04:39:28.844Z","4.3.2"
1,"verifikasi harus 14 hari lama.bikin ribet.ngapain aja uiii bikin aplikasi tp lambat prosesnya","2024-05-04T03:41:41.465Z","4.3.2"
1,"Aplikasi buruk dan gagal","2024-05-04T03:36:39.293Z","4.3.1"
1,"Reset susah,buat susah,pengajuan susah hapus aja ni apk g guna","2024-05-04T01:57:53.198Z",
2,"Halaman muat ulang terus bedebah","2024-05-04T01:14:39.115Z","4.3.2"
1,"Aplikasi buruk seburuk²nya dan belum sama sekali siap digunakan ,mau beli bbm buat transport pribadi aja susahnya minta ampun !","2024-05-04T00:05:51.947Z","4.3.1"
2,"Aplikasi kocak masa ia kendaraan Gue non diesel masuknya ke Diesel 😅😅 siapa yg daftarin coba","2024-05-03T18:46:50.718Z","4.3.2"
1,"Nopol sdh sesuai tapi tombol tambahkan kendaraan tidak aktif","2024-05-03T15:32:31.167Z","4.3.2"
5,"Mantap","2024-05-03T13:08:55.809Z","4.3.2"
1,"Saran klo mobil angkutan gk osah pakai ginian, banyak yg gk paham, aplikasi sering error","2024-05-03T12:48:44.610Z","4.3.2"
1,"Buat apa kalian buat aplikasi ini toh ujung2nya susah ketika di pom ditolak pgawai dibilang gak bisa mbak pake mypertamina...diedukasi dong pegawainya malu maluin ,gak worth it","2024-05-03T10:57:22.399Z","4.3.1"
1,"Tidak mudah untuk mendapatkan Barcode sulit sudah Wira wiri usaha tetap angel..","2024-05-03T10:49:17.305Z","4.3.2"
1,"Ngga semua suport untuk pembelian pertalite atau pertamax pembayaran menggunakan aplikasi my pertamina dan ada juga petugas pertamina nya yg tidak tahu kalau spbu nya bisa menggunakan pembayaran melalui my pertamina","2024-05-03T10:44:50.103Z","4.3.1"
1,"Tolong diperbaiki aplikasinya, saya tidak bisa menghubungkan ovo atau gopay saya tulisannya terjadi kesalahan dalam memuat laman terus","2024-05-03T09:32:44.774Z","4.3.2"
2,"Aplikasinya di daerah saya tidak berguna karena tidak ada SPBU yang bisa melayani pembayaran melalui aplikasi.","2024-05-03T07:33:12.687Z","4.3.1"
5,"Good","2024-05-03T06:20:54.601Z","4.3.1"
1,"Saya tidak bisa menghubungkan ovo & gopay Notifikasi selalu error","2024-05-03T05:29:35.586Z","4.3.2"
1,"Udah hampir 3 bulan dari pertama kali pendaftaran dan sdh sekian kali data ditolak,sedangkan menunggu verifikasi la bgt, harusx app itu mempermudah.","2024-05-03T01:56:47.663Z","4.3.1"
5,"Ok","2024-05-03T00:21:31.620Z",
4,"Syangx masih ad pertamina yg TDK mau menerima mobil aku....entah apa alasanx mereka....🥲🥲🥲","2024-05-03T00:04:07.839Z","4.3.1"
1,"Bintang satu aja dlu. Blm pernah gunakan","2024-05-02T20:38:47.405Z",
5,"Bagus, dapat poin. Ditukar bisa dapat MOTOR. Yeay!! Haha","2024-05-02T14:54:47.655Z",
1,"Aplikasi tidak membantu, pada saat BBM habis gak punya uang cash pembayaran via my Pertamina ditolak oleh petugas dgn alasan eror padahal dia tidak pegang apknya, di tolak sampe 3 tempat SPBU, percuma bikin apk kalo pembayaran ditolak oleh petugas.","2024-05-02T12:56:44.881Z","4.3.1"
1,"Habis daftar akun, kemudian login gak bisa wkwk","2024-05-02T11:12:45.480Z","4.3.1"
1,"Pendaftaran sangan sulit dan berbelit belit","2024-05-02T10:45:57.430Z","4.3.1"
1,"Ini aplikasinya cacad berul mau daftar aja gao bisa bisa dari tadi. Foto ktp kembali ke awal aplikasi terus. Perbaiki yang bener lah","2024-05-02T06:53:30.434Z",
1,"Tambah mulek aplikasine","2024-05-02T06:51:40.844Z","4.3.1"
5,"Sangat optimal","2024-05-02T05:29:33.901Z","4.3.1"
1,"Percuma punya aplikasi my pertamina g ada fungsi nya pada g bisa bayar pakai gopay bisa nya cash","2024-05-02T04:16:37.734Z","4.3.1"
1,"Aplikasi bikin ribet penduduk indonesi aj kasian yg nda punya HP bodo, malah ribet btl lagi buat akun yhhhh","2024-05-02T03:58:18.559Z","4.3.1"
4,"Ok","2024-05-02T02:41:10.270Z","4.3.1"
1,"Kalau bukan gara2 barcode Aplikasi menyusahkan. Bikin ribet, harusnya aplikasi buat mempermudah ini malah menyusahkan. Kadang jaringan jelek padahal bagus lah. Input data harusnya hener di balang salah lah dll.","2024-05-02T00:46:39.108Z","4.3.1"
1,"Ngerepotin asli","2024-05-02T00:46:11.260Z","4.3.1"
5,"Baik","2024-05-01T20:18:41.494Z","4.3.1"
1,"Percuma download kalo daftar bbm subsidi aja lari ke web udah gitu nggak ada untuk jenis non kendaraan","2024-05-01T19:12:52.770Z","4.3.1"
3,"Apk apaan, sangat menyusahkan rakyatnya","2024-05-01T17:48:52.938Z","4.3.1"
5,"Kode QR","2024-05-01T16:49:49.165Z","4.3.1"
5,"Oke banget my pertamina","2024-05-01T15:21:08.349Z","4.3.1"
5,"Bagus","2024-05-01T14:48:10.165Z","4.3.1"
1,"Aplikasi MyPertamina waktu proses pembayaran jadi lemot banget setelah scan QR. Hal itu sangat merugikan pengguna dan justru buang waktu. Pada akhirnya saya pilih bayar tunai saja. Tolong perbaiki segera!","2024-05-01T14:28:42.264Z","4.3.1"
3,"Tidak dapat mendaftarkan cara pembayaran lain, selalu gagal","2024-05-01T13:31:53.662Z","4.3.1"
1,"Bikin akun aja gagal terus, aneh","2024-05-01T12:55:26.210Z","4.3.1"
5,"Semuanya semakin lebih mudah dan bermanfaat","2024-05-01T11:59:08.960Z","4.3.1"
5,"Cepat dan mudah cara pembayaran..","2024-05-01T11:37:33.561Z",
1,"kenapa tidak bisa login di perangkat yang ini padahal dulu waktu pertama buat akun di perangkat ini malah sekarang gak bisa login dan harus login di perangkat yang lain baru bisa dibuka akunnya","2024-05-01T09:46:41.615Z","4.3.1"
5,"Supir","2024-05-01T04:51:15.598Z","4.3.1"
1,"Percuma untuk motor ga bisa, kutanya bisa bayar pakai QR atau ga, kata mas nya ga bisa. Dia ga paham aplikasinya atau gimana? 😂","2024-05-01T04:32:45.392Z",
1,"tidak ada pembayaran melalui BCA Mobile. harus pakai apps lain. sanagt meribetkan pengguna","2024-05-01T03:13:35.471Z","3.7.3"
1,"Password sama nomor telpon udah bener tapi tetap gak bisa log in","2024-05-01T02:36:15.403Z","4.3.1"
5,"Mantap","2024-05-01T00:52:11.538Z","4.3.1"
1,"Tolong lah, nomor ponserku emang 13 biji Masa gabisa daftar","2024-04-30T17:30:23.776Z","4.3.1"
1,"Maaf untuk aplikasi saya bru download, tpi untuk registrasi data di aplikasi button daftar dan login ny tidak bisa di click padahal sudah mengisi data. Mohon di perbaiki terimakasih","2024-04-30T14:28:52.587Z","4.3.1"
5,"Ganti No Pol karena sudah 5 th , tapi gak keluar barkot baru , barkot lama tidak berlaku karena beda Nopol","2024-04-30T14:06:30.351Z","4.3.1"
5,"Oke","2024-04-30T11:02:02.982Z","4.3.1"
5,"Ok","2024-04-30T09:48:14.570Z","4.2.4"
5,"Sering sulut dibuka","2024-04-30T09:00:49.568Z","4.3.1"
1,"Belum bisa bikin aplikasi sok2an pake applikasi, yg ada malah menyulitkan masyarakat.","2024-04-30T06:20:23.147Z","4.3.1"
5,"Sangat membantu","2024-04-29T13:41:38.774Z","4.3.0"
1,"Lagi urgent, bensin udah abis, mau ngisi harus daftar my pertamina dulu, pas daftar isi data² kendaraan malah aplikasi nya gangguan, tolong lah ini kan app penting, kalo gangguan harusnya dikasih solusi lain, gimana mau bersaing sama swasta","2024-04-29T11:09:08.260Z","4.3.1"
1,"Sudah di hapus, ga bisa ganti nomor hp","2024-04-29T10:20:22.768Z",
5,"Alhamdulillah","2024-04-29T08:53:00.264Z","4.3.1"
5,"Aplikasinya bagus","2024-04-29T05:27:58.371Z","4.3.1"
4,"ok","2024-04-29T02:46:57.947Z",
1,"Sangat menyulitkan masyarakat dan penduduk kecil","2024-04-29T02:17:49.131Z","4.3.1"
5,"Selamat malam saya pengusaha penggilingan padi Ingin bertanya cara pendaftaran qrcode untuk pembelian bio solar agar bisa pake jerigen gmna min soalnya jujur semenjak banyak pom yang nolak pake jerigen bingung buat buka penggilingan karna bahan bakar yang sulit di dapat ... Mohon arahannya dan petunjuk nya","2024-04-28T12:50:59.484Z",
1,"Pelayanan petugas sangat sombong,angkuh dan banyak gaya.mohon petugas nya itu di peringati.","2024-04-28T12:12:39.159Z","4.3.1"
5,"Aplikasi nya bagus, tapi performa aplikasi nya kurang","2024-04-28T09:55:11.722Z","4.3.0"
5,"aplikasi nya keren dan menarik bangetttttt","2024-04-28T04:33:01.213Z",
5,"Sangat membantu dan bermafaat","2024-04-28T04:26:08.909Z","4.3.1"
1,"gk bisa di pakai aplikasi nya, disuruh daftar tpi belom jugak di veripikasi sama petugas nya, tutup aja aplikasinya gadak gunanya","2024-04-28T04:01:30.414Z","4.3.1"
3,"Sering error kalo pembayaran Link Aja.","2024-04-28T01:34:44.537Z","4.3.1"
5,"Mantap aplikasi nya","2024-04-28T00:06:26.360Z","4.3.1"
5,"Bagus","2024-04-27T22:49:02.120Z","4.3.1"
5,"Is ok","2024-04-27T19:14:31.386Z",
1,"Waktu mau daftar, eh kendaraan udh terdaftar duluan. Entah dari mana jalannya padahal belum pernah daftar. Jenis BBM solar lagi. Padahal kendaraan BBM Pertalite. Parah ini seperti ini. Kecurangan. Setiap isi bensin diminta barcode, pas daftar eh kejadiannya begitu. Kecewa,parah sistemnya bobrok","2024-04-27T13:26:22.649Z",
5,"Mantab","2024-04-27T13:02:41.994Z","4.3.1"
5,"Mantap mypertamina dipakay ovo bisa mobil jadi lancar👍👍","2024-05-08T04:44:56.783Z",
5,"Okkey","2024-05-08T04:13:04.288Z",
1,"Aplikasi nya eror ga bs masukk","2024-05-08T03:07:40.983Z","4.3.2"
5,"Ok baik","2024-05-08T02:58:35.390Z","4.3.2"
5,"Ok","2024-05-08T02:44:25.958Z","4.3.2"
5,"Saya blm tau cara mendaftar barcode BBM subsidi solar","2024-05-08T02:39:13.300Z","4.3.2"
1,"data sdh di masukkan, sdh juga daftar, tapi ketika di cek/periksa, data tidak di temukan.... aplikasi apaan ini","2024-05-08T02:35:48.337Z",
1,"Pelayanan paling buruk terhadap konsumen attitude ga ada","2024-05-08T02:11:26.391Z","4.3.2"
1,"punya saya bio solar kok bisa terdaftar pertalite, jadinya harus ngecer tiap hari mana 8000 per liter","2024-05-08T00:56:07.750Z",
1,"Aplikasi aneh, ketika upload foto kendaraan selalu salah, sudah hampir 10 x mencoba..,. Benar2 aplikasi tidak berguna..menyusahkan saja Pusßing","2024-05-07T21:53:40.801Z","3.7.7"
1,"Kenapa informasi saya di aplikasi MyPertamina bisa bocor ke darkweb?? Siapa kah yang harus bertanggung jawab?","2024-05-07T16:13:41.100Z","2.0.0.1"
1,"Aplikasi ribet lha mbok yg simple, buka hrs pakai password sgl lihat barcode mau cetak muter"" banyak sulitnya gak ketemu. Di SPBU minta barcode di hp petugas sy suruh buka sendiri bingung yang ada hanya nopolnya. Ya tetep dilayani Piye jal... Setelah sampai rumah penasaran coba buka langsung pakai web digoogle subsiditepat.mypertamina malah cepat miski pakai otp namun barcode ada detail mobil ada semua. Lha sing simple wae pertanyaannya apa ini aplikasi dikelola pihak 3 ya?.","2024-05-07T16:09:44.941Z","4.3.0"
5,"Mantab","2024-05-07T13:15:39.779Z","4.3.2"
5,"Pengoperasian mudah.walau awal nya susah.permudah dalam antrian pertalite","2024-05-07T12:49:18.828Z","4.3.2"
1,"Bapuk, kesalahan mulu, ga bisa menghilangkan ke e-money","2024-05-07T12:26:55.251Z","4.3.2"
1,"aplikasi belum layak dipakai...buat susah","2024-05-07T11:56:52.407Z",
1,"Prosedur kalian merepotkan masyarakat. Jangan terlalu pikirkan kemajuan teknologi, tapi pertimbangkan kesenjangan dulu","2024-05-07T11:47:41.594Z",
4,"Awalnya saya kasih bintang 1, krn: Semua pertanyaan yg jawab adalah robot (via Aplikasi my pertamina,Via Instahram, Via WA, Via email pcc135). Setelah email kembali dgn subject PTM-20240129, barulah yg jawab petugas manusia (bukan mesin auto chat/auto email). Dan setelah 3 kali penolakan dgn alasan foto bpkb salah halaman, foto mobil belum tampak samping kelihatan jumlah roda dan nopol jelas. Barulah persetujuan didapat. Saya beri bintang 4 karena setiap pengajuan Banding diproses cepet 2hari","2024-05-07T11:40:54.700Z","4.3.2"
2,"Mau masukan metode pembayaran debit Mandiri. Malah di bilang tidak terdeteksi.padahal sudah benar masukan dan masa aktifnya sampe 2029. gimana sih aplikasinya ini.kalo aplikasi belum 100%ready jgn lah di publikasi dulu.jd menyusahkan.bukannya memudahkan ini","2024-05-07T11:34:13.860Z","4.3.2"
1,"Satu kata... PAYAH harusnya diperbaiki dulu ini aplikasi, rampungkan. Ini menyulitkan saja, dan banyak yg jadikan bisnis malahan","2024-05-07T09:53:51.585Z","4.3.2"
3,"Lama bgt nunggu ferisvikasi kan .udh 6 jam ga selesaiel selesai .mohon di bantu kak","2024-05-07T09:08:29.254Z","4.3.2"
1,"Iki aplikasi opo ..to....ra iso gunakan...babarblas....ra ceto..aplikasi ne...","2024-05-07T06:08:27.847Z","4.3.2"
5,"Puas","2024-05-07T05:15:39.340Z",
5,"Susah utk daftar nya","2024-05-07T04:50:34.210Z","4.3.2"
1,"Masih banyak benalu di negeri kita aplikasi ini akan merugikan mereka🤣🤭","2024-05-07T04:36:40.799Z","4.3.2"
4,"Ewww","2024-05-07T04:32:17.180Z","4.2.3"
5,"Membantu dalam pembelian bbm bersubsidi dan tepat sasaran","2024-05-07T03:46:15.546Z",
1,"Fungsi aplikasinya buat apa min , Kalau pertalite jadinya dihapus ?","2024-05-07T02:42:37.341Z","3.7.7"
1,"Setiap mau pembayaran di SPBU COCO Puri Kembangan 31.116.02 Pertamina gagal terus","2024-05-07T01:54:37.747Z","4.3.1"
5,"mantap 👍👍👍","2024-05-07T00:37:00.359Z","4.3.2"
5,"😊","2024-05-06T21:44:54.617Z",
1,"Mau daftar terlalu ribet, email, NIK kalo sudah di daftar tapi ada perbaikan tidak bisa lagi daftar padahal itu NIK dan email punya kita sendiri.padahal kita sudah buru ada kepentingan.. Pertamina tolong di tinjau kembali.terima kasih","2024-05-06T16:23:19.181Z","4.3.2"
1,"Aplikasi sampah","2024-05-06T08:48:17.356Z","4.3.2"
1,"Kenapa harus ada aplikasi, menyusahkan banget","2024-05-06T07:35:17.798Z","4.3.2"
1,"Aplikasi macam apa ini, bukannya memudahkan masyarakat kalangan bawah ini malah mempersulit, nunggu verifikasi sangat lama, dan juga kasin buat yang lainnya belum tentu punya smartphone.","2024-05-06T07:32:41.904Z","4.3.2"
5,"bguss","2024-05-06T07:30:07.514Z","4.3.2"
1,"sdh terdaftar tp sll bensin bensinbl blm terdaftar merugikan konsumen pdhl mbl saya kategori bukan mbl mewah","2024-05-06T07:18:10.172Z","4.3.2"
5,"mantap sangat bermanfaat","2024-05-06T05:44:38.618Z","4.3.2"
1,"Aplikasi tolol ga berguna","2024-05-06T04:36:45.483Z",
5,"Memuaskan","2024-05-06T03:52:32.205Z",
5,"Memuaskan","2024-05-06T03:52:19.570Z","4.3.2"
5,"Sangat membantu","2024-05-06T03:09:55.408Z","4.3.2"
5,"nicee","2024-05-06T03:08:44.559Z","4.3.2"
5,"Nice","2024-05-06T03:00:19.645Z","4.3.2"
5,"Aplikasinya bagus","2024-05-06T02:53:37.590Z","4.3.2"
5,"Mantapp","2024-05-06T02:44:09.116Z","4.3.2"
1,"Ngisi plat diketik, tp transaksi g pernah masuk, sbnrnya nglink g sih nih apk sama mesin spbu.... Wkwkwkw","2024-05-06T02:41:51.985Z","4.3.2"
2,"alat pembayaran masih blm terintegrasi. saya coba bayar menggunakan debit. masih blm bisa. bila tidak bisa tolong off. jangan PHP pelanggan dan buat repot di SPBU","2024-05-05T23:44:42.897Z","4.3.2"
5,"Mempermudah informasi pengisian bahan bakar kendaraan,serta memudahkan pembayaran 👍👍","2024-05-05T23:43:21.544Z","4.3.2"
2,"ko bisa ya data diri saya sudah terdaftar dan dipake orang lain, setelah saya cek ktp nya tidak sama dengan ktp saya (ada org yg upload ktp asal)","2024-05-05T15:21:25.848Z",
1,"Bener sekali, aplikasi ini bukan memudahkan tp menyulitkan. Sudah lebih dr 1 bulan ngga bs beli BBM gara2 aplikasi yg ngga fungsi. PERTAMINA TOLONG INI DIPERHATIKAN... BUKAN SAYA SAJA YG TERKENDALA, TAPI BANYAK KONSUMEN YANG TERDAMPAK.","2024-05-05T14:17:10.978Z",
1,"Voucher 100rb hilang, sudah telpon sampai pulsa habis lebih dr 100rb, berbulan2 jg gak balik. Aplikasi sampah","2024-05-05T14:09:42.494Z","4.3.2"
1,"Udah pernah login, udah daftar dan terverifikasi, mau login lg cek kode barcode kirim kode otp udah di coba puluhan kali kode otpnya ga masuk2 ke email Cacat bgt aplikasinya ga jelas","2024-05-05T11:16:28.613Z","4.3.2"
1,"Woi ini maksudnya apa, ngisi solar di batesin 3 kali sehari, padahal blm ngisi solar pisan seharian, malah di sangka udh ngisi 3 kali, tolong lah di pertegas kan lgi systemnya, aneh","2024-05-05T09:06:16.352Z",
5,"Sangat membantu","2024-05-05T06:08:01.502Z","4.3.2"
5,"Ok banget","2024-05-05T05:25:25.434Z","4.3.2"
3,"aplikasi bagus, sangat membantu. Saya tinggal di semarang, banyak pom bensin yg belum bersedia menggunakan my pertamina dg alasan ""lg error lah, ditanya jawabannya ga tau lah, belum bisa lah"" hah, pdhal mereka memasang spanduk my pertamina..... Kenapa????","2024-05-05T05:00:51.920Z",
1,"aplikasi di benerin coba 5 hp aja tetap bug disuruh hubungkan mulu mending nnton yotube daripada buka aplikasi gaje","2024-05-05T04:53:10.172Z","4.3.2"
3,"tolong diperbarui mslh subsidi tepat sasaran soalnya masih byk kendaraan mobil CC tinggi antri pertalite, tolong diberi batasan CC buat antre pertalite biar tepar sasaran","2024-05-05T04:19:38.432Z","4.3.2"
5,"Baru pertama kali. Belum dicoba","2024-05-05T03:48:42.693Z","4.3.2"
1,"Wajib pakai QR tapi aplikasinya 1001 bug","2024-05-05T01:30:52.626Z",
1,"Tdk bisa logi lagi","2024-05-04T17:41:23.661Z","4.3.1"
1,"Aplikasi eror tdk bisa menghubungkan ke gopay","2024-05-04T15:50:55.336Z","4.3.2"
1,"gak jelas.. efisien kagak ruwet pasti","2024-05-04T14:07:18.543Z",
5,"Sangat bagus","2024-05-04T13:18:17.202Z","4.3.2"
1,"Aplikasi busuk daftar aja susah lebih enak buat akun google daripada pakai aplikasi ini","2024-05-04T13:14:28.389Z","4.3.2"
1,"Saya SDH terdaftar pas mau download barcode muncul notif nik atau nomor plat kendaraan anda tida di temukan terus gimana saya mau isi di pom kalo gak ada barcode malah tambah ribet sekarang😭😭😭","2024-05-04T11:45:32.860Z","4.3.2"
1,"saya sudah terverifikasi tapi gak bisa nge download QR kode nya","2024-05-04T11:36:07.134Z","4.3.2"
3,"Top up nya untuk bca gak ada","2024-05-04T09:45:02.758Z","4.3.1"
1,"Tipikal aplikasi BUMN kita.. Ga jelas..","2024-05-04T09:38:27.726Z","4.3.2"
5,"🙏🙏🙏🙏","2024-05-04T09:24:31.583Z","4.3.2"
1,"Aplikasi paling jelek masak BUMN kualitas kayak abal2 mau daftar ga bisa,,masak kayak gini aplikasi BUMN","2024-05-04T05:48:34.738Z","4.3.2"
1,"karyawan SPBU punya barkode masing.. kasi 15 rb tiap kali pengisian bagi yg tdk bisa ngurus barkode. (KORUPSI) harap hilangkan aplikasi ni","2024-05-04T05:11:59.540Z",
2,"Sudah niat top-up tapi begitu sampai di pom bensin yg diarahkan selalu petugas bilang tidak bisa pakai mypertamina atau alasan alatnya erorr. Alhasil bayar pakai tunai. Tidak solutif sekali.","2024-05-04T04:40:53.523Z",
